X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
-118.11522,34.57144,199947,,DEFAULT,,,,1610396317220,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 20:12:14,,,,,,,,,OSCC,,,,,,LAC-013286,,WF,FI,34.57144,-118.11522,,,{4D3D572D-694D-4A75-94DE-D9319214E0DE},,0,,,0,,,,1,013286,1610396334580,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2021-CALAC-013286,No Decision,lacocad,wfdss,,,,,,{FB9C9F25-D27C-42C6-BE5C-C787DE98BCDD},2021/01/11 20:18:54,2021/01/11 20:18:37
-118.36753,33.92272,199949,,DEFAULT,,,,1610399212607,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 20:58:48,,,,,,,,,OSCC,,,,,,LAC-013340,,WF,FI,33.92272,-118.36753,,,{D2A581F7-9708-4D60-A467-41914D65ED15},,0,,,0,,,,1,013340,1610399235097,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-013340,No Decision,lacocad,wfdss,,,,,,{1D9C9C05-DBEF-4C42-9345-08CC36156129},2021/01/11 21:07:15,2021/01/11 21:06:52
-117.076326,33.736473,199950,,DEFAULT,,,,1610401067387,,0.1,CARRCC,,,,,,,,Unknown,,,,,2021/01/11 21:32:13,,,,,,,,,OSCC,,,,,,CAT,,WF,FI,33.736473,-117.076326,,,{23FE9893-4886-4576-B870-38586BE5A170},,0,0,0,0,0,0,,1,005865,1610401089680,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2021-CARRU-005865,No Decision,cfcad,wfdss,,,,,,{03744EE9-5355-4FB6-95AC-8ACED8BFF5D7},2021/01/11 21:38:09,2021/01/11 21:37:47
-117.73154,34.02472,199952,,DEFAULT,,,,1610404134480,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 22:19:56,,,,,,,,,OSCC,,,,,,LAC-013442,,WF,FI,34.02472,-117.73154,,,{AC14E6B5-6B05-410C-BEA2-AAF5DA2D0B7A},,0,,,0,,,,1,013442,1610404179343,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-013442,No Decision,lacocad,wfdss,,,,,,{12805C0B-7439-4C3B-B717-C3EC1293D90A},2021/01/11 22:29:39,2021/01/11 22:28:54
-118.18531,34.80594,199953,,DEFAULT,,,,1610404832707,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 22:31:38,,,,,,,,,OSCC,,,,,,LAC-013458,,WF,FI,34.80594,-118.18531,,,{E4B898A2-564E-4D80-B71C-F19D40ADCF3C},,0,,,0,,,,1,013458,1610404851877,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2021-CALAC-013458,No Decision,lacocad,wfdss,,,,,,{C7611BEB-3D07-46DB-91FF-9486F43D4281},2021/01/11 22:40:51,2021/01/11 22:40:32
-118.14938,34.01172,199955,,DEFAULT,,,,1610405902230,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 22:51:52,,,,,,,,,OSCC,,,,,,LAC-013487,,WF,FI,34.01172,-118.14938,,,{2611A8FF-B4A2-4C20-BB14-4A87AB3710C2},,0,,,0,,,,1,013487,1610405928497,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-013487,No Decision,lacocad,wfdss,,,,,,{8E785625-D6B7-4BF5-B03C-7B35A8FFD9B1},2021/01/11 22:58:48,2021/01/11 22:58:22
-120.6041667,35.4186111,199957,,DEFAULT,,,,1610407899203,,,CASLCC,,,,,,,,,,,,,2021/01/11 23:07:59,,,,,,,,,OSCC,,,,,,PINE,,WF,FI,,,,,{CD7CA0B2-C178-4B28-B812-5248A0992DFF},,0,,,0,,,,1,000514,1610407939003,,,,San Luis Obispo,CASLCC,06079,,,,Private,Private,,,,,,,SC06,CDF,CASLU,US-CA,,,,,,2021-CASLU-000514,No Decision,IROC,IROC,,,,,,{D9D502B9-933B-4107-AFDD-BA6A5C763AC0},2021/01/11 23:32:19,2021/01/11 23:31:39
-117.98211,34.10959,199958,,DEFAULT,,,,1610409631670,,0.1,CALACC,,,,,,,,Unknown,,,,,2021/01/11 23:53:32,,,,,,,,,OSCC,,,,,,LAC-013564,,WF,FI,34.11492,-117.97805,,,{7FB7901C-75B3-4F29-BE16-BF2C975A1728},,0,,,0,,,,1,013564,1610409873623,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2021-CALAC-013564,No Decision,lacocad,lacocad,,,,,,{553D1AFA-071E-4EF5-842E-D1DD95B0FB94},2021/01/12 00:04:33,2021/01/12 00:00:31
-116.754745,32.748308,199960,,DEFAULT,,,,1610410111960,,0.1,CAMVIC,,,,,,,,Unknown,,,NS30,,2021/01/12 00:08:21,,,,,,,PN,1522,OSCC,,,,,,EXPOSITION,,WF,FI,32.748308,-116.754745,,,{47A96ECA-34C3-4579-91A6-08DE7AEFFEB8},,0,1,1,0,1,0,,1,000838,1610411608043,,,,San Diego,CAMVIC,06073,,,,Private,Private,,,,,,,SC11,CDF,CAMVU,US-CA,,,,,,2021-CAMVU-000838,No Decision,cfcad,cfcad,,,,,,{67C20D49-CCD0-4190-9C26-33A52B2099C9},2021/01/12 00:33:28,2021/01/12 00:08:31
-117.1671,34.62664,199963,,DEFAULT,,,,1610418613333,0.1,1,CASBCC,,,,,,,,Unknown,,,NS32,,2021/01/12 00:52:00,,,,,,,,,OSCC,,,,,,RV,,WF,FI,34.62567,-117.2041,,,{9EE1571E-975F-4259-B8E0-65F0C277B05B},,0,1,0,0,0,1,,1,000971,1610418690883,,,,San Bernardino,CASBCC,06071,,,,Private,Private,,,,,,,SC14,BLM,CACDD,US-CA,,,,,,2021-CACDD-000971,No Decision,wildcad,wildcad,,,,,,{FD1269A9-AE65-4E55-9EBF-23C69DA108A4},2021/01/12 02:31:30,2021/01/12 02:30:13
